CustomerID,Recency,Frequency,Monetary,Total_Quantity,Unique_Products,Avg_Order_Value
12346,326,1,77183.6,74215,1,77183.6
12347,2,7,4310.0,2458,103,615.7142857142857
12348,75,4,1797.24,2341,22,449.31
12349,19,1,1757.55,631,73,1757.55
12350,310,1,334.4,197,17,334.4
12352,36,8,2506.04,536,59,313.255
12353,204,1,89.0,20,4,89.0
12354,232,1,1079.4,530,58,1079.4
12355,214,1,459.4,240,13,459.4
12356,23,3,2811.43,1591,53,937.1433333333333
12357,33,1,6207.67,2708,131,6207.67
12358,2,2,1168.06,248,13,584.03
12359,58,4,6372.58,1622,214,1593.145
12360,52,3,2662.06,1165,105,887.3533333333334
12361,287,1,189.9,91,10,189.9
12362,3,10,5226.23,2229,201,522.6229999999999
12363,110,2,552.0,408,23,276.0
12364,8,4,1313.1,1506,70,328.275
12365,291,2,641.38,174,22,320.69
12367,4,1,168.9,173,11,168.9
12370,51,4,3545.69,2353,143,886.4225
12371,45,2,1887.96,591,63,943.98
12372,72,3,1298.04,794,34,432.68
12373,311,1,364.6,197,14,364.6
12374,25,1,742.9300000000001,342,33,742.9300000000001
12375,11,2,457.5,178,14,228.75
12377,315,2,1628.12,944,72,814.06
12378,130,1,4008.62,2529,219,4008.62
12379,82,2,852.24,407,39,426.12
12380,22,4,2724.81,1127,77,681.2025
12381,5,5,1845.31,808,70,369.062
12383,185,5,1850.56,1532,84,370.11199999999997
12384,29,2,585.27,126,26,292.635
12386,338,2,401.9,354,10,200.95
12388,16,6,2780.66,1462,57,463.4433333333333
12390,80,1,549.84,353,32,549.84
12391,22,1,460.89,300,92,460.89
12393,72,4,1582.6000000000001,816,47,395.65000000000003
12394,64,2,1272.48,819,26,636.24
12395,19,12,3018.63,2118,91,251.5525
12397,36,2,2409.9,1263,110,1204.95
12398,46,1,1635.6599999999999,1394,85,1635.6599999999999
12399,119,4,1108.65,1178,47,277.1625
12401,303,1,84.3,11,5,84.3
12402,323,1,225.6,94,11,225.6
12403,50,1,427.7,96,5,427.7
12405,149,1,1710.39,857,54,1710.39
12406,22,2,3415.3,1818,92,1707.65
12407,50,5,1708.1200000000001,1416,57,341.624
12408,33,5,2888.55,1409,81,577.71
12409,79,3,11072.67,5551,91,3690.89
