Month,SALES
2003-01,129753.6
2003-02,140836.19
2003-03,174504.9
2003-04,201609.55
2003-05,192673.11
2003-06,168082.56
2003-07,187731.88
2003-08,197809.3
2003-09,263973.36
2003-10,568290.97
2003-11,1029837.66
2003-12,261876.46
2004-01,316577.42
2004-02,311419.53
2004-03,205733.73
2004-04,206148.12
2004-05,273438.39
2004-06,286674.22
2004-07,327144.09
2004-08,461501.27
2004-09,320750.91
2004-10,552924.25
2004-11,1089048.01
2004-12,372802.66
2005-01,339543.42
2005-02,358186.18
2005-03,374262.76
2005-04,261633.29
2005-05,457861.06
